Employment_Type,Education_Level,Job_Stability_Years,Family_Dependents,Monthly_Income,District,House_Ownership_Status,Vehicle_Ownership,Active_Bank_Accounts,Average_Monthly_Expenses,Existing_EMI_Burden,Emergency_Savings_Availability,Utility_Bill_Payment_Regularity,score_income,score_employment,score_education,score_job_stability,score_dependents,score_district,score_credit,score_sentiment,Repayment_Score,repayment_score_out_of_500,repayment_score_percent
Trader,12th,9.21,4,101053,Hyderabad,Own,None,3,28378,13804,Yes,Always On Time,100.0,85.0,75.0,46.05,33.33,80.0,86.34,90.0,74.47,372.33,74.47
Gig Worker,12th,15.96,2,81503,Jagtial,Rent,2W,1,22816,34374,Yes,Sometimes Late,81.5,75.0,75.0,79.8,66.67,80.0,57.83,60.0,71.97,359.87,71.97
Government,10th,3.56,1,64278,Hyderabad,Family,None,4,17992,28244,No,Sometimes Late,64.28,100.0,65.0,17.8,83.33,80.0,56.06,60.0,65.81,329.04,65.81
Government,Postgraduate,4.96,4,116891,Nizamabad,Family,None,1,61744,19345,Yes,Regularly Late,100.0,100.0,100.0,24.8,33.33,80.0,83.45,60.0,72.7,363.49,72.7
Trader,Graduate,15.14,5,113606,Kamareddy,Rent,Car,3,55106,53501,Yes,Sometimes Late,100.0,85.0,85.0,75.7,16.67,80.0,52.91,60.0,69.41,347.05,69.41
Government,12th,10.03,5,98360,Adilabad,Family,2W,4,27905,11365,No,Sometimes Late,98.36,100.0,75.0,50.15,16.67,80.0,88.45,60.0,71.08,355.39,71.08
Trader,Postgraduate,15.1,0,60648,Nalgonda,Family,None,4,13375,10589,Yes,Sometimes Late,60.65,85.0,100.0,75.5,100.0,80.0,82.54,60.0,80.46,402.31,80.46
Gig Worker,Postgraduate,15.44,3,48511,Rangareddy,Family,Car,4,22632,5438,No,Always On Time,48.51,75.0,100.0,77.2,50.0,80.0,88.79,60.0,72.44,362.19,72.44
Gig Worker,Graduate,14.77,2,113017,Bhadradri Kothagudem,Rent,2W,4,28362,33093,Yes,Sometimes Late,100.0,75.0,85.0,73.85,66.67,80.0,70.72,60.0,76.4,382.02,76.4
Government,12th,15.5,3,105205,Warangal,Family,Car,2,5423,24048,Yes,Always On Time,100.0,100.0,75.0,77.5,50.0,80.0,77.14,90.0,81.21,406.03,81.21
Gig Worker,10th,18.61,4,68784,Mahabubabad,Own,None,2,34295,31081,Yes,Always On Time,68.78,75.0,65.0,93.05,33.33,80.0,54.81,90.0,70.0,349.99,70.0
Trader,12th,12.59,4,20126,Medak,Own,2W,3,8616,4934,Yes,Regularly Late,20.13,85.0,75.0,62.95,33.33,80.0,75.49,60.0,61.49,307.43,61.49
Government,Postgraduate,4.32,0,118852,Kamareddy,Rent,None,4,31015,40932,Yes,Always On Time,100.0,100.0,100.0,21.6,100.0,80.0,65.56,90.0,82.15,410.73,82.15
Gig Worker,10th,18.99,0,104836,Warangal,Own,2W,3,50536,43556,Yes,Sometimes Late,100.0,75.0,65.0,94.95,100.0,80.0,58.45,60.0,79.18,395.88,79.18
Gig Worker,10th,1.03,4,58017,Medchal,Own,None,1,31750,23573,No,Regularly Late,58.02,75.0,65.0,5.15,33.33,80.0,59.37,60.0,54.48,272.42,54.48
Farmer,10th,0.95,5,87764,Bhadradri Kothagudem,Own,None,1,12319,3701,Yes,Sometimes Late,87.76,70.0,65.0,4.75,16.67,80.0,95.78,60.0,60.0,299.98,60.0
Farmer,10th,19.33,1,51151,Nizamabad,Rent,2W,4,21048,16780,Yes,Regularly Late,51.15,70.0,65.0,96.65,83.33,80.0,67.2,60.0,71.67,358.33,71.67
Farmer,10th,3.0,2,67521,Khammam,Own,2W,4,15880,1754,No,Always On Time,67.52,70.0,65.0,15.0,66.67,80.0,97.4,60.0,65.2,325.99,65.2
Labour,Postgraduate,5.09,3,100289,Rangareddy,Family,2W,3,57846,48996,No,Sometimes Late,100.0,60.0,100.0,25.45,50.0,80.0,51.15,60.0,65.82,329.12,65.82
Labour,Graduate,17.81,5,16104,Khammam,Rent,Car,2,7953,1160,Yes,Sometimes Late,16.1,60.0,85.0,89.05,16.67,80.0,92.8,60.0,62.45,312.26,62.45
Government,10th,15.42,1,97521,Nizamabad,Own,None,4,4941,16903,No,Always On Time,97.52,100.0,65.0,77.1,83.33,80.0,82.67,60.0,80.7,403.51,80.7
Trader,Graduate,19.51,3,91504,Medchal,Rent,None,3,52217,27773,No,Always On Time,91.5,85.0,85.0,97.55,50.0,80.0,69.65,60.0,77.34,386.69,77.34
Farmer,Postgraduate,7.51,3,43933,Karimnagar,Family,None,1,4685,6374,No,Sometimes Late,43.93,70.0,100.0,37.55,50.0,80.0,85.49,60.0,65.87,329.36,65.87
Trader,Postgraduate,8.73,5,107371,Adilabad,Family,None,1,25972,2462,Yes,Regularly Late,100.0,85.0,100.0,43.65,16.67,80.0,97.71,60.0,72.88,364.39,72.88
Gig Worker,12th,17.19,1,74116,Nalgonda,Rent,Car,4,15705,16486,No,Regularly Late,74.12,75.0,75.0,85.95,83.33,80.0,77.76,60.0,76.39,381.97,76.39
Trader,10th,12.07,2,94249,Siddipet,Rent,None,1,32734,30666,Yes,Regularly Late,94.25,85.0,65.0,60.35,66.67,80.0,67.46,60.0,72.34,361.71,72.34
Government,10th,2.83,1,25759,Bhadradri Kothagudem,Rent,2W,4,11399,6337,No,Regularly Late,25.76,100.0,65.0,14.15,83.33,80.0,75.4,60.0,62.96,314.78,62.96
Labour,12th,5.92,5,113193,Nalgonda,Own,2W,2,13233,51785,Yes,Regularly Late,100.0,60.0,75.0,29.6,16.67,80.0,54.25,60.0,59.44,297.2,59.44
Trader,Postgraduate,2.47,1,61735,Siddipet,Own,None,3,11861,20991,Yes,Sometimes Late,61.73,85.0,100.0,12.35,83.33,80.0,66.0,60.0,68.55,342.76,68.55
Gig Worker,12th,18.14,1,77834,Bhadradri Kothagudem,Own,None,4,25142,16573,Yes,Regularly Late,77.83,75.0,75.0,90.7,83.33,80.0,78.71,60.0,77.57,387.86,77.57
Labour,Graduate,9.25,1,41699,Adilabad,Family,2W,4,18804,4729,No,Always On Time,41.7,60.0,85.0,46.25,83.33,80.0,88.66,60.0,68.12,340.59,68.12
Farmer,Graduate,10.41,5,74871,Mahabubabad,Own,Car,1,36324,13610,No,Sometimes Late,74.87,70.0,85.0,52.05,16.67,80.0,81.82,60.0,65.05,325.26,65.05
Gig Worker,12th,18.76,4,9880,Adilabad,Own,None,4,4939,2231,No,Always On Time,9.88,75.0,75.0,93.8,33.33,80.0,77.42,60.0,63.05,315.27,63.05
Labour,10th,15.48,3,76238,Khammam,Own,Car,1,13536,27971,Yes,Sometimes Late,76.24,60.0,65.0,77.4,50.0,80.0,63.31,60.0,66.49,332.47,66.49
Labour,10th,8.61,5,30273,Mancherial,Rent,Car,2,12205,3335,Yes,Always On Time,30.27,60.0,65.0,43.05,16.67,80.0,88.98,90.0,59.25,296.23,59.25
Farmer,10th,19.13,1,101987,Mancherial,Rent,Car,4,60855,24870,No,Always On Time,100.0,70.0,65.0,95.65,83.33,80.0,75.61,60.0,78.7,393.5,78.7
Government,Graduate,18.32,2,105670,Medak,Family,None,4,14748,28409,No,Regularly Late,100.0,100.0,85.0,91.6,66.67,80.0,73.12,60.0,82.05,410.24,82.05
Gig Worker,12th,10.78,1,57433,Rangareddy,Family,None,3,12267,13645,No,Sometimes Late,57.43,75.0,75.0,53.9,83.33,80.0,76.24,60.0,70.11,350.57,70.11
Trader,Graduate,18.1,3,25073,Jagtial,Family,Car,4,10114,3244,No,Regularly Late,25.07,85.0,85.0,90.5,50.0,80.0,87.06,60.0,70.33,351.65,70.33
Farmer,10th,5.59,5,76327,Hyderabad,Own,None,4,13996,10320,No,Sometimes Late,76.33,70.0,65.0,27.95,16.67,80.0,86.48,60.0,60.3,301.51,60.3
Government,Postgraduate,7.11,2,112207,Medak,Rent,Car,4,39640,26178,Yes,Sometimes Late,100.0,100.0,100.0,35.55,66.67,80.0,76.67,60.0,77.36,386.8,77.36
Labour,12th,17.9,3,84660,Kamareddy,Family,2W,4,7469,22506,No,Always On Time,84.66,60.0,75.0,89.5,50.0,80.0,73.42,60.0,71.57,357.86,71.57
Government,12th,0.28,5,119337,Adilabad,Rent,2W,3,32047,56332,Yes,Regularly Late,100.0,100.0,75.0,1.4,16.67,80.0,52.8,60.0,60.73,303.66,60.73
Labour,12th,1.78,4,117543,Mahabubabad,Rent,None,4,37965,21102,Yes,Always On Time,100.0,60.0,75.0,8.9,33.33,80.0,82.05,90.0,66.16,330.8,66.16
Trader,Postgraduate,2.46,2,59810,Khammam,Family,Car,3,19198,19622,No,Regularly Late,59.81,85.0,100.0,12.3,66.67,80.0,67.19,60.0,66.37,331.86,66.37
Gig Worker,Graduate,13.62,3,102298,Warangal,Family,2W,2,28022,30613,Yes,Sometimes Late,100.0,75.0,85.0,68.1,50.0,80.0,70.07,60.0,73.52,367.61,73.52
Gig Worker,Postgraduate,16.13,1,45292,Nizamabad,Rent,2W,4,25509,19279,No,Always On Time,45.29,75.0,100.0,80.65,83.33,80.0,57.43,60.0,72.71,363.57,72.71
Labour,12th,18.22,4,21322,Mahbubnagar,Rent,Car,1,7817,8928,No,Regularly Late,21.32,60.0,75.0,91.1,33.33,80.0,58.13,60.0,59.86,299.3,59.86
Trader,Postgraduate,13.04,5,70828,Nalgonda,Rent,None,4,20524,27933,No,Sometimes Late,70.83,85.0,100.0,65.2,16.67,80.0,60.56,60.0,67.28,336.41,67.28
Labour,Graduate,17.71,0,88765,Medak,Rent,2W,2,10821,6389,No,Regularly Late,88.76,60.0,85.0,88.55,100.0,80.0,92.8,60.0,81.89,409.45,81.89
Labour,12th,9.13,1,108438,Rangareddy,Own,2W,2,60565,29061,No,Always On Time,100.0,60.0,75.0,45.65,83.33,80.0,73.2,60.0,72.15,360.74,72.15
Labour,Postgraduate,2.6,5,98604,Hyderabad,Own,2W,2,53587,15137,No,Always On Time,98.6,60.0,100.0,13.0,16.67,80.0,84.65,60.0,64.11,320.57,64.11
Trader,12th,0.13,2,37813,Siddipet,Own,2W,3,13753,3091,No,Sometimes Late,37.81,85.0,75.0,0.65,66.67,80.0,91.83,60.0,62.12,310.6,62.12
Government,Postgraduate,4.63,1,48471,Nalgonda,Own,None,3,28228,19177,Yes,Always On Time,48.47,100.0,100.0,23.15,83.33,80.0,60.44,90.0,73.17,365.87,73.17
Gig Worker,12th,6.71,5,71616,Mancherial,Own,2W,2,28982,9759,No,Sometimes Late,71.62,75.0,75.0,33.55,16.67,80.0,86.37,60.0,62.28,311.38,62.28
Farmer,Graduate,3.01,5,61058,Warangal,Family,2W,1,32427,27675,No,Sometimes Late,61.06,70.0,85.0,15.05,16.67,80.0,54.67,60.0,55.31,276.53,55.31
Gig Worker,10th,5.64,2,45111,Jagtial,Rent,2W,2,19980,12722,No,Sometimes Late,45.11,75.0,65.0,28.2,66.67,80.0,71.8,60.0,61.47,307.36,61.47
Farmer,10th,4.45,3,29738,Hyderabad,Rent,2W,1,8685,4749,Yes,Sometimes Late,29.74,70.0,65.0,22.25,50.0,80.0,84.03,60.0,57.63,288.14,57.63
Labour,Postgraduate,15.49,2,27838,Kamareddy,Own,None,3,11536,9142,Yes,Regularly Late,27.84,60.0,100.0,77.45,66.67,80.0,67.16,60.0,67.39,336.95,67.39
Government,10th,9.8,3,14875,Khammam,Own,Car,1,7790,2903,No,Sometimes Late,14.88,100.0,65.0,49.0,50.0,80.0,80.49,60.0,62.42,312.1,62.42
Trader,10th,13.37,1,79451,Mahbubnagar,Family,None,3,42871,9592,Yes,Sometimes Late,79.45,85.0,65.0,66.85,83.33,80.0,87.93,60.0,75.95,379.73,75.95
Trader,Graduate,15.18,4,106336,Kamareddy,Own,2W,3,27380,8407,Yes,Always On Time,100.0,85.0,85.0,75.9,33.33,80.0,92.09,90.0,80.17,400.83,80.17
Farmer,Graduate,19.64,1,99962,Karimnagar,Family,Car,4,17117,23900,Yes,Always On Time,99.96,70.0,85.0,98.2,83.33,80.0,76.09,90.0,85.32,426.62,85.32
Government,12th,15.23,5,118267,Karimnagar,Own,Car,2,45423,11351,No,Always On Time,100.0,100.0,75.0,76.15,16.67,80.0,90.4,60.0,74.78,373.89,74.78
Gig Worker,Postgraduate,16.43,4,117081,Medak,Family,2W,2,67489,47103,Yes,Sometimes Late,100.0,75.0,100.0,82.15,33.33,80.0,59.77,60.0,73.78,368.91,73.78
Labour,Graduate,9.23,4,36747,Mahabubabad,Family,2W,2,16530,18048,Yes,Regularly Late,36.75,60.0,85.0,46.15,33.33,80.0,50.89,60.0,56.51,282.57,56.51
Government,Postgraduate,17.14,1,32703,Nalgonda,Family,2W,2,4846,7873,No,Regularly Late,32.7,100.0,100.0,85.7,83.33,80.0,75.93,60.0,77.21,386.04,77.21
Farmer,12th,6.68,5,113417,Adilabad,Own,None,3,6357,54442,No,Always On Time,100.0,70.0,75.0,33.4,16.67,80.0,52.0,60.0,60.88,304.42,60.88
Government,Postgraduate,12.17,0,58863,Siddipet,Family,Car,2,11217,14263,No,Always On Time,58.86,100.0,100.0,60.85,100.0,80.0,75.77,60.0,79.44,397.18,79.44
Government,12th,1.12,1,45943,Mahbubnagar,Rent,2W,4,13633,11537,Yes,Always On Time,45.94,100.0,75.0,5.6,83.33,80.0,74.89,90.0,69.35,346.73,69.35
Farmer,Graduate,1.37,0,63470,Mancherial,Own,Car,3,30756,9369,Yes,Regularly Late,63.47,70.0,85.0,6.85,100.0,80.0,85.24,60.0,68.82,344.1,68.82
Trader,12th,10.03,0,16958,Karimnagar,Own,None,1,9243,3922,No,Always On Time,16.96,85.0,75.0,50.15,100.0,80.0,76.87,60.0,68.0,339.99,68.0
Trader,10th,12.84,0,89872,Khammam,Own,None,2,36447,25729,No,Sometimes Late,89.87,85.0,65.0,64.2,100.0,80.0,71.37,60.0,76.93,384.65,76.93
Farmer,12th,12.22,1,91640,Mahabubabad,Rent,Car,4,32533,2948,No,Regularly Late,91.64,70.0,75.0,61.1,83.33,80.0,96.78,60.0,77.23,386.16,77.23
Labour,12th,9.94,1,109696,Bhadradri Kothagudem,Own,None,1,50616,27349,No,Always On Time,100.0,60.0,75.0,49.7,83.33,80.0,75.07,60.0,72.89,364.44,72.89
Government,Graduate,1.49,3,69602,Medchal,Own,None,1,13332,4692,No,Sometimes Late,69.6,100.0,85.0,7.45,50.0,80.0,93.26,60.0,68.16,340.82,68.16
Gig Worker,12th,8.34,3,107614,Karimnagar,Rent,2W,3,19833,28943,Yes,Always On Time,100.0,75.0,75.0,41.7,50.0,80.0,73.11,90.0,73.1,365.5,73.1
Labour,Postgraduate,4.12,0,90581,Khammam,Own,Car,1,19488,8724,No,Sometimes Late,90.58,60.0,100.0,20.6,100.0,80.0,90.37,60.0,75.19,375.97,75.19
Farmer,Graduate,8.1,2,83182,Mahbubnagar,Own,Car,1,14764,16917,No,Regularly Late,83.18,70.0,85.0,40.5,66.67,80.0,79.66,60.0,70.63,353.13,70.63
Farmer,Graduate,0.96,0,78772,Hyderabad,Own,2W,3,17358,34780,No,Sometimes Late,78.77,70.0,85.0,4.8,100.0,80.0,55.85,60.0,66.8,334.01,66.8
Labour,Graduate,9.15,2,52882,Mancherial,Family,None,4,3582,14057,No,Regularly Late,52.88,60.0,85.0,45.75,66.67,80.0,73.42,60.0,65.46,327.32,65.46
Gig Worker,12th,19.58,4,82412,Karimnagar,Family,Car,2,39513,37431,Yes,Sometimes Late,82.41,75.0,75.0,97.9,33.33,80.0,54.58,60.0,69.78,348.89,69.78
Farmer,10th,9.31,0,17770,Warangal,Family,None,2,5157,5845,Yes,Always On Time,17.77,70.0,65.0,46.55,100.0,80.0,67.11,90.0,67.05,335.27,67.05
Trader,10th,7.05,3,27545,Khammam,Family,None,3,11952,4287,No,Sometimes Late,27.54,85.0,65.0,35.25,50.0,80.0,84.44,60.0,60.9,304.52,60.9
Labour,12th,5.85,4,88187,Warangal,Family,2W,1,32723,43777,Yes,Sometimes Late,88.19,60.0,75.0,29.25,33.33,80.0,50.36,60.0,59.52,297.58,59.52
Government,Graduate,10.02,1,23758,Kamareddy,Family,Car,3,5426,1342,No,Regularly Late,23.76,100.0,85.0,50.1,83.33,80.0,94.35,60.0,72.07,360.34,72.07
Farmer,10th,14.24,5,80568,Mahbubnagar,Rent,2W,2,24180,11678,No,Regularly Late,80.57,70.0,65.0,71.2,16.67,80.0,85.51,60.0,66.12,330.59,66.12
Government,12th,1.88,2,68419,Karimnagar,Own,Car,4,35523,22672,No,Regularly Late,68.42,100.0,75.0,9.4,66.67,80.0,66.86,60.0,65.79,328.97,65.79
Farmer,Graduate,8.02,0,60496,Mahabubabad,Family,2W,2,27871,6152,No,Sometimes Late,60.5,70.0,85.0,40.1,100.0,80.0,89.83,60.0,73.18,365.89,73.18
Gig Worker,10th,17.98,4,14779,Adilabad,Rent,Car,1,3459,4718,Yes,Regularly Late,14.78,75.0,65.0,89.9,33.33,80.0,68.08,60.0,60.76,303.81,60.76
Trader,Postgraduate,8.59,3,64763,Mancherial,Own,2W,4,4892,18164,No,Sometimes Late,64.76,85.0,100.0,42.95,50.0,80.0,71.95,60.0,69.33,346.67,69.33
Gig Worker,10th,11.85,0,109444,Nalgonda,Rent,2W,2,36130,13512,No,Sometimes Late,100.0,75.0,65.0,59.25,100.0,80.0,87.65,60.0,78.36,391.82,78.36
Trader,10th,8.49,3,112470,Mancherial,Own,None,4,34868,45140,Yes,Always On Time,100.0,85.0,65.0,42.45,50.0,80.0,59.87,90.0,71.54,357.7,71.54
Gig Worker,12th,16.13,2,28372,Warangal,Family,2W,4,7391,2053,No,Always On Time,28.37,75.0,75.0,80.65,66.67,80.0,92.76,60.0,69.81,349.03,69.81
Labour,Graduate,19.02,2,57968,Rangareddy,Family,Car,3,21161,16693,No,Always On Time,57.97,60.0,85.0,95.1,66.67,80.0,71.2,60.0,71.99,359.96,71.99
Gig Worker,Postgraduate,6.43,1,28339,Medak,Family,None,2,9364,12224,No,Always On Time,28.34,75.0,100.0,32.15,83.33,80.0,56.87,60.0,64.46,322.31,64.46
Gig Worker,10th,17.9,0,13481,Hyderabad,Family,2W,4,7058,6141,No,Sometimes Late,13.48,75.0,65.0,89.5,100.0,80.0,54.45,60.0,67.18,335.89,67.18
Labour,12th,6.36,4,22901,Warangal,Family,2W,2,4990,2631,No,Always On Time,22.9,60.0,75.0,31.8,33.33,80.0,88.51,60.0,56.44,282.22,56.44
Labour,Graduate,16.74,1,116475,Mahbubnagar,Rent,Car,4,46341,58024,No,Regularly Late,100.0,60.0,85.0,83.7,83.33,80.0,50.18,60.0,75.28,376.39,75.28
Farmer,10th,8.63,5,116422,Nizamabad,Rent,Car,4,63101,37955,Yes,Sometimes Late,100.0,70.0,65.0,43.15,16.67,80.0,67.4,60.0,62.78,313.88,62.78
Trader,Postgraduate,13.17,2,23566,Rangareddy,Rent,Car,3,12976,7652,No,Sometimes Late,23.57,85.0,100.0,65.85,66.67,80.0,67.53,60.0,68.58,342.88,68.58
Trader,Graduate,19.93,5,79071,Khammam,Family,None,1,42098,22134,No,Sometimes Late,79.07,85.0,85.0,99.65,16.67,80.0,72.01,60.0,72.17,360.87,72.17
Trader,Graduate,13.15,5,80654,Nalgonda,Own,2W,1,8359,19438,Yes,Always On Time,80.65,85.0,85.0,65.75,16.67,80.0,75.9,90.0,72.37,361.86,72.37
Gig Worker,12th,19.83,0,77767,Warangal,Own,2W,4,37621,25718,No,Regularly Late,77.77,75.0,75.0,99.15,100.0,80.0,66.93,60.0,79.23,396.15,79.23
Government,10th,5.67,5,119421,Medchal,Own,2W,1,28266,14445,Yes,Sometimes Late,100.0,100.0,65.0,28.35,16.67,80.0,87.9,60.0,67.24,336.2,67.24
Gig Worker,10th,19.38,1,106080,Siddipet,Family,None,1,49794,26933,Yes,Sometimes Late,100.0,75.0,65.0,96.9,83.33,80.0,74.61,60.0,79.36,396.78,79.36
Labour,12th,5.5,3,99109,Kamareddy,Rent,2W,3,27497,9147,No,Always On Time,99.11,60.0,75.0,27.5,50.0,80.0,90.77,60.0,67.8,338.99,67.8
Gig Worker,Graduate,16.79,3,103569,Adilabad,Family,None,3,59738,2488,No,Sometimes Late,100.0,75.0,85.0,83.95,50.0,80.0,97.6,60.0,78.94,394.72,78.94
Government,10th,9.49,4,85455,Mahabubabad,Rent,None,2,11140,37827,No,Always On Time,85.46,100.0,65.0,47.45,33.33,80.0,55.74,60.0,65.87,329.36,65.87
Farmer,12th,8.76,3,94174,Nizamabad,Rent,None,4,25259,41469,Yes,Regularly Late,94.17,70.0,75.0,43.8,50.0,80.0,55.97,60.0,66.12,330.59,66.12
Gig Worker,Postgraduate,17.49,5,36496,Warangal,Family,2W,3,18130,10980,Yes,Regularly Late,36.5,75.0,100.0,87.45,16.67,80.0,69.92,60.0,65.69,328.46,65.69
Gig Worker,Graduate,18.38,2,78502,Kamareddy,Own,2W,1,32038,1222,Yes,Regularly Late,78.5,75.0,85.0,91.9,66.67,80.0,98.44,60.0,79.44,397.2,79.44
Government,Graduate,1.15,0,87867,Karimnagar,Family,Car,1,14413,15344,Yes,Always On Time,87.87,100.0,85.0,5.75,100.0,80.0,82.54,90.0,78.89,394.47,78.89
Trader,10th,11.76,0,13750,Medchal,Family,None,3,5343,351,Yes,Sometimes Late,13.75,85.0,65.0,58.8,100.0,80.0,97.45,60.0,70.0,350.0,70.0
Government,Graduate,5.64,0,68019,Medak,Rent,None,1,15631,7984,Yes,Always On Time,68.02,100.0,85.0,28.2,100.0,80.0,88.26,90.0,79.94,399.68,79.94
Gig Worker,10th,6.96,3,22482,Mancherial,Rent,None,2,13256,4208,No,Sometimes Late,22.48,75.0,65.0,34.8,50.0,80.0,81.28,60.0,58.57,292.85,58.57
Farmer,12th,9.85,0,108759,Kamareddy,Own,2W,2,58141,14484,No,Regularly Late,100.0,70.0,75.0,49.25,100.0,80.0,86.68,60.0,77.62,388.08,77.62
Gig Worker,12th,14.4,4,104785,Mancherial,Rent,None,4,59256,34828,No,Regularly Late,100.0,75.0,75.0,72.0,33.33,80.0,66.76,60.0,70.26,351.31,70.26
Gig Worker,12th,2.13,4,34676,Nalgonda,Own,2W,1,18571,3901,No,Regularly Late,34.68,75.0,75.0,10.65,33.33,80.0,88.75,60.0,57.18,285.88,57.18
Labour,12th,14.58,4,62503,Bhadradri Kothagudem,Own,2W,2,31885,30524,Yes,Sometimes Late,62.5,60.0,75.0,72.9,33.33,80.0,51.16,60.0,61.86,309.31,61.86
Gig Worker,12th,16.8,3,93322,Warangal,Rent,2W,1,43069,21672,Yes,Regularly Late,93.32,75.0,75.0,84.0,50.0,80.0,76.78,60.0,74.26,371.31,74.26
Labour,10th,3.95,5,56005,Karimnagar,Own,2W,3,20595,11366,No,Regularly Late,56.0,60.0,65.0,19.75,16.67,80.0,79.71,60.0,54.64,273.2,54.64
Trader,Graduate,12.08,3,59959,Adilabad,Family,2W,1,18900,12781,No,Sometimes Late,59.96,85.0,85.0,60.4,50.0,80.0,78.68,60.0,69.88,349.4,69.88
Gig Worker,Graduate,12.83,3,20250,Mahbubnagar,Own,2W,4,7041,3782,No,Always On Time,20.25,75.0,85.0,64.15,50.0,80.0,81.32,60.0,64.47,322.33,64.47
Labour,12th,10.78,2,16157,Siddipet,Rent,None,1,6559,5552,No,Sometimes Late,16.16,60.0,75.0,53.9,66.67,80.0,65.64,60.0,59.67,298.35,59.67
Gig Worker,12th,9.25,2,44244,Mahabubabad,Family,None,1,15408,1733,Yes,Always On Time,44.24,75.0,75.0,46.25,66.67,80.0,96.08,90.0,71.66,358.28,71.66
Labour,10th,19.08,4,96232,Medak,Family,Car,2,33848,9950,Yes,Always On Time,96.23,60.0,65.0,95.4,33.33,80.0,89.66,90.0,76.2,381.02,76.2
Trader,Postgraduate,4.3,3,23939,Mancherial,Own,None,4,6570,10073,Yes,Sometimes Late,23.94,85.0,100.0,21.5,50.0,80.0,57.92,60.0,59.8,298.98,59.8
Farmer,Graduate,7.09,5,115094,Karimnagar,Family,2W,2,24094,36449,No,Sometimes Late,100.0,70.0,85.0,35.45,16.67,80.0,68.33,60.0,64.43,322.16,64.43
Government,10th,16.86,0,98779,Jagtial,Family,None,2,40215,1960,No,Sometimes Late,98.78,100.0,65.0,84.3,100.0,80.0,98.02,60.0,85.76,428.81,85.76
Government,10th,1.6,4,52040,Mahbubnagar,Family,None,1,21917,3138,Yes,Regularly Late,52.04,100.0,65.0,8.0,33.33,80.0,93.97,60.0,61.54,307.71,61.54
Labour,Postgraduate,17.69,1,36114,Nizamabad,Rent,2W,2,18218,3518,Yes,Always On Time,36.11,60.0,100.0,88.45,83.33,80.0,90.26,90.0,78.52,392.6,78.52
Labour,12th,19.66,5,66121,Rangareddy,Own,Car,2,28210,19655,No,Regularly Late,66.12,60.0,75.0,98.3,16.67,80.0,70.27,60.0,65.8,328.98,65.8
Gig Worker,Graduate,8.04,2,26518,Karimnagar,Own,2W,1,12466,8623,Yes,Sometimes Late,26.52,75.0,85.0,40.2,66.67,80.0,67.48,60.0,62.61,313.04,62.61
Government,12th,5.28,3,65657,Nalgonda,Family,Car,4,7569,17102,Yes,Regularly Late,65.66,100.0,75.0,26.4,50.0,80.0,73.95,60.0,66.38,331.88,66.38
Farmer,10th,8.36,3,72553,Medak,Family,None,1,18969,28835,Yes,Always On Time,72.55,70.0,65.0,41.8,50.0,80.0,60.26,90.0,66.2,331.01,66.2
Trader,Graduate,0.28,2,17467,Kamareddy,Rent,None,1,3974,5680,No,Sometimes Late,17.47,85.0,85.0,1.4,66.67,80.0,67.48,60.0,57.88,289.39,57.88
Farmer,12th,2.35,2,18931,Mancherial,Rent,2W,2,9883,5999,Yes,Sometimes Late,18.93,70.0,75.0,11.75,66.67,80.0,68.31,60.0,56.33,281.66,56.33
Gig Worker,Postgraduate,1.74,3,49357,Nalgonda,Own,Car,2,12087,4410,No,Always On Time,49.36,75.0,100.0,8.7,50.0,80.0,91.07,60.0,64.27,321.33,64.27
Gig Worker,10th,6.97,2,24237,Nizamabad,Family,2W,1,12269,7942,Yes,Regularly Late,24.24,75.0,65.0,34.85,66.67,80.0,67.23,60.0,59.12,295.62,59.12
Labour,Postgraduate,14.62,0,111420,Bhadradri Kothagudem,Family,None,4,57278,10469,Yes,Regularly Late,100.0,60.0,100.0,73.1,100.0,80.0,90.6,60.0,82.96,414.82,82.96
Farmer,10th,4.42,1,68692,Nizamabad,Rent,2W,3,40347,30448,No,Regularly Late,68.69,70.0,65.0,22.1,83.33,80.0,55.68,60.0,63.1,315.5,63.1
Government,10th,8.01,5,23096,Nalgonda,Rent,Car,1,4737,8575,No,Always On Time,23.1,100.0,65.0,40.05,16.67,80.0,62.87,60.0,55.96,279.8,55.96
Gig Worker,10th,12.7,2,44851,Mahbubnagar,Own,2W,2,8900,5651,No,Sometimes Late,44.85,75.0,65.0,63.5,66.67,80.0,87.4,60.0,67.8,339.01,67.8
Labour,Postgraduate,17.31,1,19326,Warangal,Rent,Car,2,3706,4186,No,Sometimes Late,19.33,60.0,100.0,86.55,83.33,80.0,78.34,60.0,70.94,354.72,70.94
Government,Graduate,19.25,0,62694,Hyderabad,Own,2W,4,10714,24010,No,Sometimes Late,62.69,100.0,85.0,96.25,100.0,80.0,61.7,60.0,80.71,403.53,80.71
Trader,Postgraduate,12.95,4,109620,Adilabad,Own,Car,2,32059,6862,No,Sometimes Late,100.0,85.0,100.0,64.75,33.33,80.0,93.74,60.0,77.1,385.51,77.1
Labour,Graduate,7.48,4,20497,Nalgonda,Own,Car,4,3200,2916,No,Regularly Late,20.5,60.0,85.0,37.4,33.33,80.0,85.77,60.0,57.75,288.75,57.75
