employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Retired,Postgraduate,10.4,0,31124,Hyderabad,Own,2W,1,8234,12492,Yes,Regularly Late,51.16,255.8
Private,Primary,12.4,1,113996,Rangareddy,Family,Car,4,25678,48578,Yes,Rarely Paid,85.27,426.35
Gig Worker,Primary,19.4,2,25661,Warangal,Rent,Car,1,52171,43214,Yes,Rarely Paid,55.26,276.3
Other,Graduate,15.3,5,8395,Medchal,Rent,None,4,24583,387,Yes,Sometimes Late,30.48,152.4
Self-Employed,Primary,13.1,0,63080,Rangareddy,Family,Car,4,53529,15555,No,Rarely Paid,71.19,355.95
Retired,Graduate,12.9,2,104935,Warangal,Own,2W,4,45234,38828,No,Always On Time,82.68,413.4
Retired,Postgraduate,3.6,5,21565,Khammam,Family,2W,1,41504,23376,Yes,Rarely Paid,19.52,97.6
Government,10th,9.3,3,24029,Kamareddy,Rent,None,1,55352,32945,No,Rarely Paid,35.96,179.8
Student,12th,12.2,2,114356,Jagtial,Rent,Car,4,55158,1981,No,Regularly Late,81.63,408.15
Labour,Primary,18.2,3,110674,Nizamabad,Own,None,4,33710,4319,Yes,Rarely Paid,87.3,436.5
Retired,Primary,12.3,5,112891,Karimnagar,Rent,2W,1,15291,47,No,Sometimes Late,71.78,358.9
Retired,Graduate,6.7,0,15166,Nizamabad,Family,2W,3,3356,39288,Yes,Regularly Late,37.63,188.15
Government,12th,5.9,2,24566,Mahbubnagar,Own,2W,1,32025,25022,Yes,Always On Time,34.47,172.35
Farmer,Graduate,19.5,4,19642,Mahabubabad,Own,Car,4,58661,29764,Yes,Regularly Late,45.74,228.7
Unemployed,Primary,7.6,4,65719,Mahabubabad,Rent,2W,1,36359,2337,No,Rarely Paid,50.93,254.65
Other,Graduate,18.9,2,105621,Medak,Rent,None,3,40468,49610,No,Always On Time,91.68,458.4
Gig Worker,10th,19.1,3,21279,Nizamabad,Rent,Car,4,16957,2577,Yes,Rarely Paid,49.29,246.45
Labour,Graduate,13.8,0,97859,Rangareddy,Own,Car,1,40815,13441,No,Always On Time,89.63,448.15
Other,10th,9.5,4,47145,Nizamabad,Family,None,2,53613,18764,Yes,Rarely Paid,44.49,222.45
Other,Graduate,10.5,1,36948,Nizamabad,Rent,None,2,50432,25897,Yes,Always On Time,50.89,254.45
Gig Worker,Postgraduate,9.4,1,31116,Bhadradri Kothagudem,Family,2W,1,21273,34327,No,Rarely Paid,46.32,231.6
Self-Employed,Postgraduate,13.2,3,89692,Medchal,Family,None,2,31772,37871,Yes,Sometimes Late,74.65,373.25
Retired,Graduate,0.1,5,82408,Nizamabad,Family,2W,1,3962,8710,Yes,Sometimes Late,44.69,223.45
Gig Worker,Graduate,2.6,4,19534,Siddipet,Own,2W,4,28679,35644,No,Rarely Paid,20.33,101.65
Student,Primary,11.0,5,85848,Rangareddy,Rent,None,1,14681,32955,Yes,Regularly Late,62.76,313.8
Self-Employed,Graduate,14.8,2,20237,Rangareddy,Own,None,1,43598,22782,No,Rarely Paid,45.65,228.25
Unemployed,10th,8.8,4,10961,Adilabad,Rent,Car,2,32670,43342,No,Rarely Paid,25.35,126.75
Farmer,Primary,19.0,1,85628,Karimnagar,Own,2W,1,23836,49997,Yes,Rarely Paid,87.98,439.9
Labour,Graduate,19.6,5,72578,Khammam,Own,None,2,37009,37256,No,Always On Time,69.02,345.1
Self-Employed,Primary,9.5,1,28361,Karimnagar,Own,None,2,53203,16873,No,Sometimes Late,45.1,225.5
Other,Primary,15.6,1,109783,Khammam,Own,Car,3,20165,16586,Yes,Sometimes Late,90.07,450.35
Farmer,Primary,17.0,1,72696,Karimnagar,Rent,None,1,51999,38371,No,Sometimes Late,78.51,392.55
Labour,Primary,2.6,4,95604,Medak,Family,None,2,35343,41848,No,Always On Time,58.37,291.85
Labour,Postgraduate,9.6,0,77520,Kamareddy,Own,None,1,44304,1249,No,Regularly Late,73.16,365.8
Trader,Postgraduate,5.1,5,57710,Nalgonda,Family,Car,2,8796,47673,No,Always On Time,39.84,199.2
Private,Postgraduate,3.3,5,52681,Medchal,Family,Car,4,52667,33684,No,Always On Time,34.62,173.1
Labour,12th,8.5,3,117863,Mahabubabad,Family,Car,4,16200,26392,No,Regularly Late,72.75,363.75
Labour,Graduate,5.3,0,101155,Medak,Rent,2W,1,19802,16597,No,Always On Time,77.95,389.75
Government,Primary,1.5,0,85922,Nizamabad,Family,2W,4,52236,27921,No,Rarely Paid,65.21,326.05
Self-Employed,Postgraduate,11.2,0,59002,Khammam,Rent,Car,4,12655,45588,Yes,Sometimes Late,66.3,331.5
Retired,Primary,18.1,4,104221,Adilabad,Family,2W,1,5228,26516,Yes,Sometimes Late,83.82,419.1
Farmer,Primary,15.7,3,37571,Mahabubabad,Own,2W,1,13929,20386,No,Regularly Late,52.34,261.7
Other,Primary,1.6,4,52926,Mancherial,Family,Car,1,57343,49477,No,Regularly Late,35.53,177.65
Self-Employed,Primary,8.0,4,14888,Khammam,Rent,2W,4,26758,47573,No,Regularly Late,26.11,130.55
Labour,10th,6.8,5,118711,Adilabad,Own,2W,1,34010,6106,Yes,Sometimes Late,63.53,317.65
Self-Employed,12th,5.2,4,17291,Siddipet,Rent,None,2,34292,10028,Yes,Regularly Late,23.11,115.55
Retired,Graduate,19.3,1,114921,Nizamabad,Family,Car,1,54356,11763,No,Regularly Late,95.62,478.1
Other,Graduate,18.8,5,88386,Nalgonda,Rent,2W,1,19617,19901,No,Always On Time,75.73,378.65
Trader,Primary,18.2,0,81562,Kamareddy,Own,Car,2,49246,17177,No,Always On Time,88.08,440.4
Retired,Postgraduate,16.4,2,93394,Karimnagar,Rent,Car,1,18910,32986,Yes,Sometimes Late,84.63,423.15
Labour,12th,10.4,5,13781,Karimnagar,Family,Car,1,9195,12701,Yes,Always On Time,25.82,129.1
Unemployed,Graduate,11.5,1,76899,Nalgonda,Rent,None,2,21455,43753,No,Regularly Late,72.37,361.85
Student,Postgraduate,7.1,4,115565,Mancherial,Own,Car,3,54296,11093,No,Rarely Paid,67.32,336.6
Trader,Primary,6.3,3,43633,Medak,Rent,None,2,13151,18747,No,Sometimes Late,41.27,206.35
Unemployed,Postgraduate,11.2,4,62971,Hyderabad,Rent,Car,4,30309,40342,Yes,Sometimes Late,54.95,274.75
Trader,Postgraduate,2.1,2,96969,Adilabad,Rent,Car,4,28307,201,No,Rarely Paid,64.97,324.85
Labour,10th,14.0,4,109835,Siddipet,Own,2W,2,58098,35612,No,Sometimes Late,77.67,388.35
Self-Employed,Graduate,11.3,2,95097,Warangal,Own,None,4,18298,6684,Yes,Always On Time,77.83,389.15
Unemployed,Postgraduate,11.3,5,44194,Hyderabad,Own,2W,3,26405,6648,Yes,Sometimes Late,42.38,211.9
Other,Graduate,9.2,0,58557,Mahabubabad,Rent,Car,3,23355,20820,Yes,Always On Time,63.08,315.4
Gig Worker,12th,11.0,5,84385,Bhadradri Kothagudem,Own,2W,1,9015,37190,No,Regularly Late,62.03,310.15
Farmer,12th,12.9,1,52382,Jagtial,Family,2W,4,26998,29318,No,Always On Time,62.21,311.05
Self-Employed,12th,0.2,3,97282,Jagtial,Family,None,1,34025,39666,Yes,Always On Time,58.94,294.7
Government,Graduate,4.6,1,8594,Kamareddy,Family,None,2,27666,2860,No,Always On Time,27.86,139.3
Student,Graduate,18.9,0,11774,Khammam,Own,None,3,40128,37991,Yes,Always On Time,54.24,271.2
Gig Worker,12th,18.4,2,112180,Nalgonda,Rent,None,3,53627,40540,Yes,Always On Time,90.93,454.65
Government,12th,5.6,1,44188,Khammam,Own,None,1,45265,6918,Yes,Sometimes Late,47.16,235.8
Government,12th,19.8,5,44051,Medak,Rent,Car,3,7375,41471,Yes,Always On Time,55.06,275.3
Self-Employed,Graduate,8.2,5,95828,Khammam,Rent,Car,4,53258,42915,Yes,Always On Time,63.55,317.75
Other,12th,11.2,0,64759,Warangal,Family,2W,4,38933,43481,Yes,Regularly Late,69.18,345.9
Student,10th,9.7,4,49811,Rangareddy,Family,2W,1,41092,31478,No,Regularly Late,46.12,230.6
Gig Worker,12th,2.0,4,20209,Karimnagar,Rent,2W,1,52803,9739,Yes,Regularly Late,19.77,98.85
Student,Postgraduate,4.1,1,93174,Mahabubabad,Family,None,4,40646,47543,Yes,Rarely Paid,69.4,347.0
Farmer,Primary,14.3,3,67674,Warangal,Family,None,1,9510,41583,No,Rarely Paid,65.29,326.45
Private,10th,10.2,3,37980,Nizamabad,Family,Car,2,36045,340,No,Regularly Late,44.29,221.45
Government,12th,11.7,1,46205,Warangal,Rent,2W,1,15923,23926,No,Always On Time,57.32,286.6
Unemployed,12th,15.4,0,48999,Warangal,Family,Car,4,29616,7187,Yes,Sometimes Late,67.6,338.0
Self-Employed,12th,14.8,0,36961,Karimnagar,Rent,None,3,58547,13716,No,Always On Time,60.68,303.4
Labour,10th,15.5,2,85349,Warangal,Rent,2W,1,54977,7346,Yes,Sometimes Late,79.26,396.3
Self-Employed,Graduate,19.2,3,79988,Mahbubnagar,Family,None,1,15444,20671,Yes,Regularly Late,78.79,393.95
Farmer,10th,18.5,0,74316,Nizamabad,Rent,None,4,37177,15609,Yes,Rarely Paid,84.91,424.55
Trader,10th,5.3,5,48981,Warangal,Own,Car,4,53704,47855,Yes,Rarely Paid,35.77,178.85
Trader,Postgraduate,10.0,5,52342,Nalgonda,Family,Car,1,30734,23066,Yes,Rarely Paid,44.5,222.5
Unemployed,Graduate,10.1,3,41934,Mahbubnagar,Own,None,3,8288,17276,No,Always On Time,46.12,230.6
Farmer,10th,7.8,0,94966,Siddipet,Own,2W,3,38912,18161,Yes,Always On Time,79.18,395.9
Unemployed,Graduate,0.7,0,117456,Mancherial,Own,None,1,5095,6936,Yes,Always On Time,71.05,355.25
Unemployed,Graduate,0.5,4,33066,Hyderabad,Own,None,2,13129,29272,Yes,Rarely Paid,23.95,119.75
Government,10th,5.9,5,84013,Rangareddy,Family,2W,2,58406,45280,Yes,Sometimes Late,54.19,270.95
Self-Employed,10th,18.1,2,102405,Adilabad,Family,Car,4,47754,44131,Yes,Always On Time,90.48,452.4
Self-Employed,Postgraduate,6.1,4,118958,Adilabad,Family,2W,2,37807,4888,No,Sometimes Late,65.82,329.1
Unemployed,Graduate,4.2,3,92216,Medchal,Own,Car,4,43360,35659,No,Regularly Late,62.41,312.05
Other,Primary,5.9,2,89618,Nalgonda,Own,None,3,58175,10359,Yes,Rarely Paid,66.99,334.95
Private,10th,8.8,0,15712,Siddipet,Family,None,4,48773,33122,Yes,Rarely Paid,41.06,205.3
Farmer,12th,12.1,0,33302,Warangal,Family,Car,1,55925,809,Yes,Sometimes Late,54.8,274.0
Unemployed,10th,5.0,4,113473,Nizamabad,Rent,Car,2,53833,43781,No,Always On Time,64.17,320.85
Farmer,10th,9.9,1,42675,Hyderabad,Rent,2W,2,53727,17292,No,Sometimes Late,52.85,264.25
Private,Graduate,15.8,1,109704,Karimnagar,Family,Car,2,29515,10307,No,Rarely Paid,90.37,451.85
Labour,12th,3.4,5,104199,Rangareddy,Rent,None,4,12976,2435,No,Always On Time,58.43,292.15
Other,12th,4.3,1,54567,Rangareddy,Own,None,2,23090,48888,Yes,Regularly Late,50.4,252.0
Gig Worker,10th,5.7,4,97539,Siddipet,Rent,Car,4,24996,44477,No,Regularly Late,63.99,319.95
Retired,Postgraduate,19.6,3,12316,Mahabubabad,Rent,None,3,11209,42720,No,Sometimes Late,45.56,227.8
Student,Postgraduate,5.5,4,96011,Mahabubabad,Family,2W,4,22574,14047,No,Rarely Paid,62.92,314.6
Private,Postgraduate,11.5,1,96881,Nizamabad,Rent,Car,1,27387,11674,No,Sometimes Late,82.36,411.8
Private,12th,16.8,1,99247,Karimnagar,Rent,Car,4,59257,43293,No,Always On Time,91.49,457.45
Unemployed,10th,6.0,1,110364,Rangareddy,Family,None,1,20380,15615,Yes,Rarely Paid,75.67,378.35
Trader,10th,11.3,1,114865,Siddipet,Rent,None,2,51672,14779,Yes,Rarely Paid,83.62,418.1
Trader,Postgraduate,4.0,4,74077,Warangal,Own,None,2,24557,25638,No,Regularly Late,49.71,248.55
Other,12th,14.7,4,104994,Rangareddy,Family,2W,3,17432,45100,No,Always On Time,78.72,393.6
Private,Postgraduate,4.0,0,100735,Bhadradri Kothagudem,Own,2W,1,4362,13112,Yes,Always On Time,76.0,380.0
Self-Employed,Primary,16.0,5,18469,Nizamabad,Family,Car,1,51667,17550,Yes,Always On Time,36.57,182.85
Unemployed,12th,4.3,0,49789,Kamareddy,Rent,2W,1,20768,44540,Yes,Regularly Late,51.34,256.7
Private,10th,2.1,0,80010,Jagtial,Rent,None,4,39088,23352,No,Always On Time,63.16,315.8
Student,Graduate,13.1,5,67302,Mancherial,Rent,None,2,27030,28393,No,Sometimes Late,56.63,283.15
Other,Graduate,15.2,4,41726,Nizamabad,Rent,Car,3,44265,8659,Yes,Sometimes Late,50.33,251.65
Other,Graduate,11.5,1,46242,Hyderabad,Family,None,3,19284,30184,Yes,Always On Time,57.04,285.2
Self-Employed,12th,2.5,4,13927,Kamareddy,Family,2W,2,16369,36441,No,Regularly Late,17.38,86.9
Private,Primary,11.7,2,106815,Mancherial,Family,2W,3,3006,46657,No,Sometimes Late,80.88,404.4
Other,Graduate,9.5,3,59692,Hyderabad,Rent,2W,2,28292,24170,No,Rarely Paid,54.1,270.5
Unemployed,Primary,10.3,3,60407,Adilabad,Rent,None,4,57878,17027,No,Always On Time,55.65,278.25
Student,Graduate,4.9,5,36155,Nizamabad,Family,2W,2,6136,13888,No,Always On Time,28.76,143.8
Other,12th,14.9,1,83831,Jagtial,Family,None,1,46132,20287,No,Sometimes Late,80.93,404.65
Private,10th,7.2,5,48670,Nizamabad,Own,2W,4,11800,10916,No,Regularly Late,38.47,192.35
Retired,10th,15.9,3,12956,Jagtial,Rent,Car,4,40408,2569,No,Regularly Late,40.33,201.65
Gig Worker,Postgraduate,0.2,1,55933,Karimnagar,Family,2W,3,27101,3089,No,Sometimes Late,44.93,224.65
Other,Postgraduate,3.7,5,119745,Warangal,Own,Car,1,22460,31119,No,Rarely Paid,58.88,294.4
Private,12th,19.4,2,54276,Siddipet,Own,None,1,21620,39098,Yes,Rarely Paid,69.57,347.85
Gig Worker,Postgraduate,16.7,3,36111,Karimnagar,Rent,2W,1,47822,38239,Yes,Rarely Paid,53.11,265.55
Labour,Postgraduate,9.1,0,118805,Rangareddy,Own,2W,4,23018,4723,Yes,Regularly Late,83.65,418.25
Student,12th,4.9,5,114889,Medak,Family,Car,3,41155,26711,No,Rarely Paid,60.68,303.4
Trader,12th,11.3,1,62419,Mahbubnagar,Family,Car,4,32075,19598,Yes,Regularly Late,64.83,324.15
Unemployed,Primary,19.5,1,33736,Mahabubabad,Family,2W,4,42504,18471,No,Regularly Late,62.78,313.9
Gig Worker,12th,9.3,3,30165,Medchal,Rent,2W,4,24035,33687,No,Regularly Late,39.03,195.15
Labour,Graduate,4.3,2,25606,Medak,Rent,Car,1,55460,10953,Yes,Sometimes Late,32.59,162.95
Labour,Graduate,19.5,5,14119,Mahabubabad,Own,2W,3,42614,3552,No,Sometimes Late,39.64,198.2
Student,Postgraduate,18.7,0,107153,Adilabad,Family,None,1,46116,7401,No,Sometimes Late,98.05,490.25
Self-Employed,10th,15.7,4,15603,Mahabubabad,Own,None,1,49336,49319,Yes,Sometimes Late,38.02,190.1
Other,Postgraduate,10.0,4,61182,Hyderabad,Family,Car,4,48754,35640,Yes,Rarely Paid,52.26,261.3
Government,Primary,15.3,0,12028,Rangareddy,Family,2W,2,33357,4264,No,Regularly Late,48.96,244.8
Labour,Primary,6.2,2,20258,Rangareddy,Rent,Car,1,23169,10956,No,Rarely Paid,32.76,163.8
Gig Worker,Postgraduate,14.7,4,63219,Medchal,Family,None,3,58249,47690,No,Sometimes Late,60.33,301.65
Trader,Postgraduate,14.7,4,23315,Medak,Family,None,2,44632,7670,Yes,Always On Time,40.37,201.85
Government,Primary,18.2,1,50551,Mahabubabad,Rent,None,1,17002,11396,Yes,Sometimes Late,69.24,346.2
Self-Employed,12th,2.5,0,88534,Jagtial,Own,Car,3,41469,30854,No,Sometimes Late,68.02,340.1
Farmer,10th,1.9,2,9344,Karimnagar,Family,Car,3,17465,15574,No,Always On Time,20.86,104.3
Gig Worker,12th,1.0,3,30569,Nalgonda,Own,None,2,38667,47748,No,Rarely Paid,26.78,133.9
Unemployed,10th,10.8,4,62039,Bhadradri Kothagudem,Own,2W,4,9064,32268,Yes,Always On Time,53.89,269.45
Student,Postgraduate,3.9,0,22370,Mahbubnagar,Rent,Car,1,16082,34392,No,Sometimes Late,37.04,185.2
Trader,Primary,16.4,0,88035,Mancherial,Rent,None,3,56968,17127,Yes,Sometimes Late,88.62,443.1
Self-Employed,12th,18.2,3,82763,Siddipet,Rent,None,1,32732,39536,No,Regularly Late,78.68,393.4
Government,Primary,6.5,3,47693,Jagtial,Rent,2W,3,4129,27924,No,Regularly Late,43.6,218.0
Other,Postgraduate,13.0,1,86797,Medak,Own,None,2,7672,4389,No,Regularly Late,79.57,397.85
Private,Graduate,0.3,5,109277,Kamareddy,Family,None,4,34485,49199,No,Always On Time,53.78,268.9
Gig Worker,12th,8.6,1,102589,Medak,Family,Car,1,33692,14785,Yes,Sometimes Late,79.57,397.85
Farmer,Primary,4.6,0,35141,Nizamabad,Family,2W,1,43079,27782,No,Always On Time,44.47,222.35
Government,Postgraduate,18.6,0,8555,Nizamabad,Family,None,3,13504,1636,No,Regularly Late,52.18,260.9
Trader,Primary,14.8,5,108466,Siddipet,Rent,2W,3,15036,18551,Yes,Rarely Paid,75.53,377.65
Retired,Postgraduate,11.3,3,32047,Rangareddy,Family,2W,2,21158,47704,No,Always On Time,42.97,214.85
Government,Postgraduate,8.2,0,78881,Mahbubnagar,Own,None,1,4880,3031,No,Regularly Late,71.74,358.7
Self-Employed,12th,4.5,5,49670,Mancherial,Rent,None,1,47498,34144,Yes,Sometimes Late,34.92,174.6
Other,10th,4.6,4,80520,Mahabubabad,Family,2W,2,10675,3528,Yes,Always On Time,53.83,269.15
Labour,10th,7.5,2,77000,Mahbubnagar,Rent,None,2,24038,22296,Yes,Regularly Late,63.08,315.4
Government,Postgraduate,6.0,5,117498,Nalgonda,Rent,2W,4,43939,28078,No,Sometimes Late,62.33,311.65
Other,Postgraduate,4.0,5,16345,Adilabad,Family,None,4,41328,39787,Yes,Always On Time,17.51,87.55
Retired,Postgraduate,9.5,4,40847,Nizamabad,Rent,Car,2,7342,4328,No,Sometimes Late,41.34,206.7
Unemployed,Primary,7.6,4,41500,Bhadradri Kothagudem,Own,Car,4,35068,3826,Yes,Sometimes Late,38.82,194.1
Retired,10th,9.2,2,9534,Medak,Family,2W,4,37006,7425,Yes,Sometimes Late,31.9,159.5
Labour,10th,1.7,0,28131,Adilabad,Own,Car,3,33914,42190,No,Rarely Paid,36.62,183.1
Labour,12th,3.0,4,105477,Adilabad,Own,None,2,46803,26661,No,Sometimes Late,61.17,305.85
Retired,Graduate,9.0,1,47383,Siddipet,Family,2W,3,21710,5037,Yes,Always On Time,53.86,269.3
Student,12th,17.1,2,96531,Kamareddy,Rent,Car,2,24608,32240,No,Rarely Paid,87.25,436.25
Gig Worker,Postgraduate,8.7,3,64392,Khammam,Own,2W,4,34894,24459,Yes,Rarely Paid,55.25,276.25
Government,12th,1.5,4,21347,Karimnagar,Rent,Car,1,38655,31098,No,Rarely Paid,19.59,97.95
Unemployed,Primary,16.1,3,86849,Khammam,Family,2W,2,23208,43141,No,Regularly Late,77.57,387.85
Student,Primary,12.2,0,61460,Nizamabad,Own,None,3,38830,35525,No,Sometimes Late,69.03,345.15
Trader,10th,16.5,0,8228,Adilabad,Rent,Car,3,25577,12498,Yes,Rarely Paid,48.86,244.3
Gig Worker,Postgraduate,7.7,5,10030,Medak,Rent,None,2,48856,48639,No,Sometimes Late,19.9,99.5
Self-Employed,Graduate,4.7,3,12906,Warangal,Own,None,4,50500,974,Yes,Rarely Paid,23.5,117.5
Private,10th,15.3,4,83615,Warangal,Family,None,2,30939,808,No,Always On Time,71.42,357.1
Government,12th,2.3,4,71231,Hyderabad,Rent,2W,2,7952,15494,Yes,Always On Time,45.73,228.65
Gig Worker,Primary,12.3,0,37987,Adilabad,Own,2W,2,21621,11137,Yes,Always On Time,57.44,287.2
Self-Employed,Postgraduate,5.6,5,88526,Medak,Own,2W,2,37428,16694,No,Always On Time,56.0,280.0
Other,12th,16.2,2,8315,Rangareddy,Family,None,1,53049,33667,No,Regularly Late,41.79,208.95
Unemployed,Primary,14.2,1,47782,Khammam,Rent,2W,3,20201,45982,No,Regularly Late,61.86,309.3
Unemployed,Primary,5.5,4,43749,Nizamabad,Own,2W,3,45953,11967,No,Regularly Late,36.79,183.95
Gig Worker,12th,6.3,5,19327,Mancherial,Own,Car,4,19376,32355,No,Rarely Paid,22.45,112.25
Self-Employed,Primary,5.3,1,77734,Warangal,Rent,Car,3,40948,10332,No,Always On Time,63.48,317.4
Labour,10th,12.0,3,73293,Kamareddy,Rent,Car,2,50799,30396,Yes,Regularly Late,64.65,323.25
Government,Postgraduate,8.1,0,58529,Jagtial,Family,2W,3,7228,20061,Yes,Regularly Late,61.41,307.05
Student,Primary,7.2,1,35934,Bhadradri Kothagudem,Own,Car,3,57098,8409,No,Sometimes Late,45.43,227.15
Trader,10th,14.2,1,29245,Siddipet,Rent,Car,4,20372,49244,No,Rarely Paid,52.59,262.95
Other,Graduate,1.3,3,29736,Mahbubnagar,Rent,Car,2,53314,7179,Yes,Rarely Paid,26.82,134.1
Labour,12th,14.8,4,26838,Khammam,Family,Car,3,15147,22691,Yes,Rarely Paid,42.29,211.45
Student,10th,4.8,2,104636,Khammam,Rent,None,1,20792,17668,No,Regularly Late,70.53,352.65
Unemployed,Primary,8.4,1,38777,Siddipet,Own,Car,3,58946,48868,Yes,Regularly Late,48.66,243.3
Farmer,Primary,3.1,3,73522,Jagtial,Rent,Car,1,15778,32711,Yes,Rarely Paid,51.41,257.05
Other,Graduate,4.0,2,109812,Mancherial,Family,None,1,31504,35812,Yes,Always On Time,69.33,346.65
Labour,Primary,6.9,0,93698,Bhadradri Kothagudem,Family,None,3,7508,17342,Yes,Always On Time,77.2,386.0
Unemployed,12th,4.8,3,56948,Khammam,Own,None,1,8275,33133,Yes,Always On Time,45.67,228.35
Private,12th,12.4,5,98425,Siddipet,Family,Car,1,30709,23979,No,Regularly Late,71.15,355.75
Retired,10th,13.0,1,116339,Mahabubabad,Own,None,1,38294,45558,No,Sometimes Late,86.17,430.85
Student,10th,13.0,1,70062,Warangal,Rent,None,4,32055,27920,No,Regularly Late,71.2,356.0
Government,12th,9.7,1,28449,Rangareddy,Own,Car,2,21467,13938,Yes,Always On Time,45.44,227.2
Private,Graduate,14.7,4,106585,Medak,Rent,Car,2,28201,3694,Yes,Regularly Late,78.72,393.6
Gig Worker,10th,4.3,3,107602,Khammam,Family,None,2,51858,25843,Yes,Regularly Late,66.45,332.25
Retired,10th,2.9,3,90052,Karimnagar,Own,None,1,16195,3089,Yes,Always On Time,59.38,296.9
Self-Employed,10th,15.2,5,113725,Karimnagar,Own,Car,3,9926,22420,No,Regularly Late,76.13,380.65
Private,Graduate,10.3,3,57054,Mahabubabad,Rent,Car,3,47664,38075,No,Rarely Paid,53.98,269.9
Student,10th,2.6,4,114919,Medak,Own,Car,2,3882,43877,No,Rarely Paid,60.57,302.85
Labour,10th,4.3,0,98579,Karimnagar,Rent,2W,4,48179,14935,No,Always On Time,75.74,378.7
Trader,Postgraduate,8.7,5,44697,Siddipet,Family,Car,2,35911,3239,Yes,Sometimes Late,38.73,193.65
Government,12th,3.1,3,95710,Siddipet,Own,None,3,38545,24278,Yes,Always On Time,62.51,312.55
Trader,Graduate,1.6,5,47030,Nalgonda,Family,None,2,24685,36900,No,Rarely Paid,29.25,146.25
Retired,Graduate,10.5,2,64340,Mahbubnagar,Rent,2W,4,27571,23241,Yes,Regularly Late,61.25,306.25
Retired,Primary,11.5,5,99601,Kamareddy,Rent,2W,2,31285,27034,No,Regularly Late,70.38,351.9
Labour,Primary,18.9,3,90347,Bhadradri Kothagudem,Rent,2W,4,22863,24671,No,Sometimes Late,83.52,417.6
Unemployed,Primary,19.9,2,27323,Medchal,Own,Car,4,38328,40658,Yes,Always On Time,56.84,284.2
Other,Postgraduate,4.9,2,32191,Siddipet,Rent,2W,2,23011,4247,No,Regularly Late,36.78,183.9
Trader,Graduate,16.5,5,9045,Khammam,Rent,Car,3,52890,27809,No,Sometimes Late,32.61,163.05
Labour,10th,16.0,5,78803,Jagtial,Own,Car,3,3102,44253,No,Regularly Late,66.73,333.65
Private,Graduate,9.4,0,101291,Khammam,Own,None,4,31377,4997,No,Sometimes Late,84.1,420.5
Labour,12th,2.3,5,8090,Rangareddy,Rent,Car,2,18654,42297,Yes,Always On Time,10.83,54.15
Private,Primary,5.6,1,40032,Khammam,Family,2W,3,35298,49094,Yes,Rarely Paid,45.08,225.4
Self-Employed,12th,19.0,0,38474,Nizamabad,Family,2W,3,28304,46753,Yes,Sometimes Late,67.74,338.7
Retired,12th,4.6,0,10836,Warangal,Rent,None,1,44729,12661,Yes,Always On Time,32.32,161.6
Private,Postgraduate,16.1,0,39065,Mancherial,Rent,Car,2,40505,25647,Yes,Always On Time,63.68,318.4
Labour,Postgraduate,5.5,1,102740,Kamareddy,Family,Car,1,56064,11925,No,Always On Time,74.92,374.6
Self-Employed,Primary,3.1,1,48634,Warangal,Rent,None,2,42142,10098,Yes,Rarely Paid,45.63,228.15
Government,10th,7.0,5,37519,Medak,Own,Car,2,24451,31579,Yes,Rarely Paid,32.59,162.95
Trader,10th,5.9,5,47000,Warangal,Own,Car,2,51082,14189,Yes,Always On Time,35.68,178.4
Government,Primary,9.5,2,74558,Karimnagar,Own,Car,2,29670,43106,No,Rarely Paid,64.86,324.3
Retired,Graduate,8.2,3,94626,Karimnagar,Rent,Car,1,38719,15926,Yes,Regularly Late,69.61,348.05
Government,Postgraduate,10.8,2,58489,Nalgonda,Family,2W,4,47778,3351,No,Always On Time,58.78,293.9
Retired,Postgraduate,7.1,5,49515,Rangareddy,Family,2W,2,48891,39791,Yes,Regularly Late,38.74,193.7
Trader,Graduate,17.9,5,77941,Kamareddy,Rent,Car,3,33132,16449,Yes,Regularly Late,69.15,345.75
Labour,10th,15.5,5,75401,Bhadradri Kothagudem,Family,Car,2,39654,31473,Yes,Regularly Late,64.28,321.4
Self-Employed,Graduate,2.3,4,54794,Khammam,Family,Car,2,58092,49783,No,Regularly Late,37.51,187.55
Private,Graduate,0.3,0,52886,Rangareddy,Rent,None,1,46958,32558,No,Always On Time,46.89,234.45
Government,12th,10.7,2,65071,Rangareddy,Family,2W,1,39302,15010,No,Rarely Paid,61.92,309.6
Gig Worker,12th,4.8,5,27493,Kamareddy,Family,2W,2,53446,27730,Yes,Rarely Paid,24.28,121.4
Farmer,Graduate,5.3,0,70423,Rangareddy,Family,Car,2,10644,34852,No,Regularly Late,63.16,315.8
Government,12th,5.8,0,116344,Medak,Rent,2W,4,29129,42933,No,Rarely Paid,78.7,393.5
Retired,Graduate,14.7,0,91313,Nizamabad,Rent,Car,1,16520,7822,No,Sometimes Late,87.71,438.55
Retired,Primary,5.1,1,85565,Nizamabad,Own,2W,3,3153,30658,No,Rarely Paid,67.1,335.5
Government,Graduate,6.5,0,105114,Mahabubabad,Family,2W,1,26586,12631,No,Rarely Paid,79.75,398.75
Unemployed,12th,7.8,1,35199,Medchal,Family,Car,2,3278,34786,Yes,Always On Time,45.97,229.85
