employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Farmer,10th,15.88,4,93083,Kamareddy,Own,2W,1,12839,407,No,Regularly Late,77.03,368.15
Trader,Postgraduate,18.12,3,48785,Medchal,Own,Car,1,23410,37978,No,Always On Time,61.57,316.85
Farmer,Postgraduate,2.59,0,31088,Khammam,Rent,None,3,11873,7915,Yes,Rarely Paid,39.43,208.15
Unemployed,Graduate,10.42,5,111226,Bhadradri Kothagudem,Family,None,4,35182,17350,No,Rarely Paid,68.96,339.8
Unemployed,Graduate,1.88,1,46059,Mahbubnagar,Rent,Car,3,41443,46297,Yes,Sometimes Late,42.52,204.6
Trader,12th,0.87,2,38388,Siddipet,Rent,Car,2,7910,35198,No,Always On Time,33.83,176.15
Trader,Postgraduate,5.78,0,104944,Mancherial,Own,None,4,44469,44521,No,Rarely Paid,78.67,375.35
Farmer,Graduate,14.48,4,34356,Hyderabad,Family,Car,1,29470,47826,Yes,Rarely Paid,45.56,250.8
Labour,Primary,15.84,0,58066,Mancherial,Own,None,3,56218,18847,No,Sometimes Late,72.79,354.95
Gig Worker,Postgraduate,12.64,3,102048,Mahbubnagar,Rent,Car,2,26395,32999,Yes,Sometimes Late,78.96,411.8
Gig Worker,12th,0.97,4,55137,Mahbubnagar,Own,2W,3,6413,26494,Yes,Rarely Paid,35.69,183.45
Unemployed,Postgraduate,16.33,3,82353,Mahbubnagar,Rent,Car,2,48799,44077,No,Sometimes Late,75.67,386.35
Trader,Graduate,16.33,0,39220,Karimnagar,Own,None,2,17067,46713,Yes,Regularly Late,64.1,300.5
Government,10th,17.78,0,51737,Jagtial,Family,2W,3,42855,34547,Yes,Regularly Late,72.54,358.7
Government,10th,6.93,0,8601,Bhadradri Kothagudem,Own,None,3,57780,7085,Yes,Always On Time,34.7,161.5
Labour,Primary,16.02,3,113815,Mahabubabad,Own,None,1,15909,16321,Yes,Regularly Late,84.03,397.15
Trader,Postgraduate,19.33,4,68252,Mahabubabad,Own,2W,3,13121,14839,Yes,Rarely Paid,69.79,334.95
Trader,Graduate,12.44,1,53614,Kamareddy,Own,None,3,56474,17957,Yes,Always On Time,62.13,320.65
Trader,Primary,10.5,1,117689,Siddipet,Family,None,4,7290,41437,Yes,Rarely Paid,82.42,398.1
Farmer,Postgraduate,9.41,3,61741,Medak,Rent,2W,1,31173,28130,Yes,Regularly Late,54.99,293.95
Unemployed,Primary,17.58,2,16455,Mahabubabad,Own,Car,2,59548,11935,Yes,Always On Time,47.93,215.65
Trader,12th,6.34,5,73889,Nalgonda,Family,2W,3,55499,40685,Yes,Always On Time,49.79,224.95
Trader,12th,0.58,1,69430,Mancherial,Rent,None,2,30129,22961,Yes,Sometimes Late,52.25,250.25
Government,10th,13.38,3,70711,Medak,Family,None,4,22438,42489,Yes,Regularly Late,65.43,324.15
Government,12th,9.53,0,42749,Medak,Own,Car,1,8067,29854,No,Always On Time,55.67,281.35
Trader,12th,17.76,3,52811,Karimnagar,Own,2W,1,58129,17975,No,Regularly Late,63.05,306.25
Labour,12th,18.31,0,74482,Nalgonda,Own,Car,4,36281,43794,No,Always On Time,84.71,429.55
Trader,12th,2.2,4,36698,Hyderabad,Own,None,1,55133,37036,Yes,Rarely Paid,28.32,122.6
Unemployed,Graduate,19.41,2,71873,Mahbubnagar,Family,2W,4,53129,20013,No,Sometimes Late,78.38,395.9
Farmer,10th,3.2,4,87745,Nalgonda,Family,Car,2,15693,4341,Yes,Always On Time,55.34,278.7
Labour,Graduate,9.65,3,32355,Warangal,Own,None,1,36624,26855,Yes,Sometimes Late,40.65,191.25
Gig Worker,Primary,16.89,3,72395,Medchal,Family,Car,2,37807,11547,Yes,Rarely Paid,71.53,375.65
Farmer,Postgraduate,16.76,0,23014,Mahbubnagar,Family,None,3,49374,43548,No,Rarely Paid,56.65,287.25
Government,Graduate,3.44,3,53274,Adilabad,Own,None,2,59774,12082,Yes,Sometimes Late,41.8,200.0
Labour,Primary,6.02,2,71678,Nizamabad,Rent,2W,2,38675,1594,Yes,Rarely Paid,58.2,297.0
Labour,Graduate,0.06,4,12264,Mancherial,Own,Car,4,7947,22122,No,Always On Time,12.89,84.45
Trader,Primary,5.59,4,23835,Kamareddy,Family,2W,4,26479,30631,No,Always On Time,26.97,114.85
Gig Worker,Graduate,8.62,2,108671,Kamareddy,Own,None,2,12909,8763,No,Rarely Paid,76.26,379.3
Trader,Graduate,16.75,4,48873,Nalgonda,Rent,None,3,23946,27027,No,Always On Time,56.23,261.15
Government,12th,17.79,2,111934,Medchal,Rent,None,2,38342,26375,No,Sometimes Late,90.02,451.1
Gig Worker,Primary,1.56,0,113923,Mahbubnagar,Family,Car,3,42922,3764,No,Rarely Paid,72.34,353.7
Trader,Primary,14.47,3,31681,Nizamabad,Own,None,2,49825,36370,Yes,Sometimes Late,47.55,235.75
Trader,10th,13.1,5,99402,Warangal,Family,2W,2,6230,34498,No,Rarely Paid,72.68,374.4
Labour,Postgraduate,19.23,4,101106,Bhadradri Kothagudem,Family,Car,4,42715,4750,Yes,Regularly Late,85.51,425.55
Unemployed,12th,10.15,3,83168,Mancherial,Family,None,1,59564,39626,Yes,Rarely Paid,66.81,346.05
Labour,Postgraduate,10.25,2,83163,Nizamabad,Own,None,1,54370,24516,Yes,Rarely Paid,70.29,359.45
Government,Postgraduate,11.15,4,76238,Kamareddy,Family,Car,3,43033,4302,Yes,Always On Time,61.51,321.55
Gig Worker,Graduate,17.27,5,20446,Mancherial,Rent,Car,1,39074,43220,No,Rarely Paid,39.46,218.3
Unemployed,Graduate,3.5,3,80749,Nizamabad,Own,Car,4,45289,28909,No,Regularly Late,55.62,267.1
Farmer,10th,18.96,5,38379,Warangal,Own,2W,4,16523,1870,Yes,Sometimes Late,50.96,239.8
Unemployed,12th,10.29,5,70962,Nizamabad,Rent,None,2,14697,39432,No,Rarely Paid,54.25,267.25
Trader,12th,17.1,1,44981,Khammam,Family,None,1,53214,31336,Yes,Always On Time,64.81,322.05
Gig Worker,10th,7.5,5,116004,Karimnagar,Own,Car,4,45902,32828,Yes,Always On Time,64.58,297.9
Farmer,10th,13.51,5,87789,Siddipet,Own,Car,4,34543,27273,No,Sometimes Late,67.49,329.45
Labour,Postgraduate,2.61,1,25619,Karimnagar,Family,None,2,40704,10700,No,Sometimes Late,33.39,184.95
Farmer,Graduate,18.33,2,35205,Mahabubabad,Own,None,3,24920,42431,No,Regularly Late,58.43,278.15
Farmer,10th,7.22,4,13425,Hyderabad,Own,2W,4,38425,42488,Yes,Regularly Late,24.21,138.05
Unemployed,Graduate,12.41,4,100927,Karimnagar,Own,None,4,49712,25345,No,Sometimes Late,75.28,378.4
Unemployed,12th,11.56,0,80984,Kamareddy,Own,2W,2,5274,27171,Yes,Regularly Late,77.83,403.15
Government,10th,6.96,2,71323,Warangal,Own,None,4,41998,29448,Yes,Always On Time,59.43,278.15
Unemployed,Postgraduate,5.6,4,99221,Rangareddy,Rent,Car,2,47779,49418,Yes,Rarely Paid,64.68,320.4
Unemployed,12th,5.61,0,65021,Warangal,Rent,Car,3,8062,1391,No,Rarely Paid,60.93,299.65
Gig Worker,12th,4.04,4,24007,Warangal,Rent,Car,3,59749,25092,Yes,Always On Time,24.73,131.65
Trader,Postgraduate,7.14,4,81696,Kamareddy,Family,2W,3,36696,7736,Yes,Sometimes Late,58.22,276.1
Farmer,Postgraduate,4.56,1,117937,Siddipet,Rent,None,1,38304,31171,Yes,Sometimes Late,73.51,363.55
Labour,Primary,19.05,4,16610,Karimnagar,Rent,None,3,31285,14095,Yes,Always On Time,43.55,233.75
Labour,Primary,10.35,2,37984,Siddipet,Rent,2W,2,43535,31640,Yes,Rarely Paid,47.85,248.25
Unemployed,Primary,12.65,2,12619,Warangal,Rent,Car,4,15567,16423,Yes,Sometimes Late,38.62,196.1
Gig Worker,Postgraduate,6.6,4,78777,Karimnagar,Family,2W,4,24278,34668,Yes,Sometimes Late,55.96,295.8
Trader,10th,14.55,3,79293,Nalgonda,Family,2W,1,33520,40303,Yes,Rarely Paid,71.47,359.35
Unemployed,12th,15.19,3,21727,Nalgonda,Family,None,2,36457,37262,No,Rarely Paid,43.65,210.25
Trader,10th,15.63,5,30637,Medak,Family,None,4,50814,14843,No,Sometimes Late,42.1,198.5
Gig Worker,Graduate,1.43,1,95193,Siddipet,Rent,2W,2,31085,47406,No,Regularly Late,66.41,324.05
Farmer,Postgraduate,8.83,3,46585,Mahbubnagar,Own,None,2,37204,8989,Yes,Regularly Late,46.54,234.7
Unemployed,Postgraduate,20.0,3,76591,Jagtial,Rent,2W,3,31071,2912,No,Regularly Late,78.3,389.5
Farmer,12th,12.52,3,90159,Mahabubabad,Rent,None,1,55274,11033,No,Sometimes Late,73.86,351.3
Farmer,10th,10.53,0,18064,Rangareddy,Rent,2W,3,24484,22751,No,Rarely Paid,44.83,240.15
Government,Postgraduate,13.39,3,47610,Hyderabad,Own,Car,1,39472,23602,No,Regularly Late,53.89,288.45
Labour,Postgraduate,6.59,5,33571,Mahabubabad,Family,None,4,14310,22208,Yes,Rarely Paid,30.0,132.0
Labour,10th,18.82,5,70659,Hyderabad,Own,2W,3,34621,6171,No,Sometimes Late,66.89,312.45
Unemployed,Primary,19.22,3,97077,Siddipet,Family,None,2,24438,9579,Yes,Regularly Late,87.37,437.85
Labour,12th,1.38,3,27975,Rangareddy,Own,Car,1,45339,17361,Yes,Always On Time,26.06,140.3
Farmer,10th,5.52,2,105435,Medchal,Family,Car,4,36709,40070,No,Regularly Late,71.61,337.05
Farmer,Postgraduate,18.18,4,8087,Hyderabad,Own,None,3,3972,42780,Yes,Always On Time,37.98,196.9
Labour,Primary,6.19,4,96003,Jagtial,Family,Car,4,31581,9355,No,Regularly Late,63.95,342.75
Government,Graduate,8.03,5,114299,Medak,Rent,2W,1,31359,36702,No,Sometimes Late,65.38,334.9
Labour,Postgraduate,5.37,4,103982,Medchal,Family,Car,1,53424,2180,No,Rarely Paid,64.72,327.6
Farmer,Postgraduate,18.91,5,40946,Kamareddy,Family,None,4,17385,21682,Yes,Sometimes Late,52.17,242.85
Farmer,Primary,9.88,0,88136,Rangareddy,Rent,None,4,35111,43637,No,Sometimes Late,78.89,407.45
Labour,Postgraduate,10.83,4,70691,Hyderabad,Family,None,3,59998,40164,No,Regularly Late,58.26,312.3
Labour,Postgraduate,10.23,5,49641,Medchal,Family,None,4,40830,48965,Yes,Sometimes Late,43.5,217.5
Labour,12th,7.43,5,99525,Nizamabad,Family,2W,4,29022,15829,No,Always On Time,64.24,332.2
Gig Worker,Postgraduate,14.23,2,29893,Kamareddy,Own,Car,3,27403,48321,Yes,Always On Time,49.62,256.1
Government,12th,19.81,0,31230,Jagtial,Family,None,4,39541,40852,No,Always On Time,65.33,307.65
Farmer,Graduate,3.83,1,15431,Nizamabad,Family,Car,3,8219,1650,No,Rarely Paid,30.13,164.65
Gig Worker,Graduate,9.63,2,49107,Mahbubnagar,Own,2W,3,21344,17532,Yes,Regularly Late,52.33,263.65
Farmer,Primary,7.6,2,63982,Bhadradri Kothagudem,Own,None,1,44952,47617,Yes,Always On Time,56.72,296.6
Gig Worker,12th,2.11,4,117252,Jagtial,Rent,None,4,32967,34561,No,Rarely Paid,59.83,312.15
Unemployed,12th,4.78,0,41798,Mahabubabad,Family,None,3,15824,31667,Yes,Regularly Late,48.07,242.35
Labour,10th,5.81,5,39579,Mancherial,Family,None,1,12950,11197,No,Regularly Late,31.84,147.2
Gig Worker,Graduate,12.6,3,8032,Rangareddy,Own,None,1,23142,26468,No,Rarely Paid,32.92,188.6
Unemployed,Graduate,12.43,2,103225,Medak,Own,Car,4,36088,44420,Yes,Sometimes Late,81.98,421.9
Labour,Primary,14.3,2,52941,Nalgonda,Rent,Car,4,48379,44493,No,Sometimes Late,61.25,284.25
Labour,Primary,4.51,3,52773,Hyderabad,Own,2W,4,45471,34814,Yes,Rarely Paid,43.15,231.75
Labour,12th,8.96,1,89105,Mahabubabad,Own,None,2,42086,49779,No,Always On Time,74.66,365.3
Gig Worker,Primary,2.78,1,31596,Hyderabad,Rent,2W,2,26653,28394,No,Always On Time,36.63,201.15
Government,Postgraduate,11.16,0,106912,Medchal,Family,2W,4,6060,24556,No,Always On Time,86.74,455.7
Gig Worker,Postgraduate,5.86,0,89663,Mancherial,Own,None,4,16951,38053,Yes,Regularly Late,73.62,367.1
Government,Postgraduate,5.2,2,29412,Mahabubabad,Rent,2W,4,21394,18276,Yes,Regularly Late,35.84,160.2
Farmer,10th,10.2,0,103863,Mancherial,Rent,None,1,4271,34155,Yes,Always On Time,85.3,438.5
Labour,Primary,16.76,4,112071,Mahabubabad,Rent,Car,2,22454,8891,Yes,Regularly Late,81.81,411.05
Trader,10th,4.04,5,104660,Mancherial,Rent,2W,3,36964,38427,Yes,Always On Time,59.39,275.95
Unemployed,Graduate,5.4,5,117961,Nizamabad,Rent,2W,4,5933,32368,No,Rarely Paid,61.43,284.15
Trader,12th,1.91,2,50139,Nizamabad,Rent,None,1,55937,44704,Yes,Rarely Paid,41.27,224.35
Unemployed,Postgraduate,12.3,4,49346,Hyderabad,Family,2W,4,26205,42030,Yes,Rarely Paid,49.79,253.95
Trader,Primary,8.04,2,8878,Mahabubabad,Family,2W,4,30457,29201,Yes,Always On Time,29.83,170.15
Trader,12th,0.89,1,98899,Khammam,Family,Car,2,28419,11346,No,Always On Time,67.45,353.25
Labour,12th,14.15,3,36499,Khammam,Rent,2W,3,51485,26532,No,Sometimes Late,49.47,241.35
Farmer,Graduate,4.35,0,14987,Adilabad,Family,2W,2,28779,16970,No,Always On Time,34.02,163.1
Labour,Postgraduate,0.69,2,102477,Mancherial,Own,2W,1,34430,8930,Yes,Rarely Paid,64.37,343.85
Trader,10th,9.87,3,66236,Siddipet,Own,None,3,25479,20650,Yes,Regularly Late,57.92,274.6
Unemployed,10th,17.76,2,36389,Warangal,Own,2W,2,29312,15009,Yes,Rarely Paid,58.17,304.85
Gig Worker,Primary,13.59,4,83197,Karimnagar,Family,2W,3,30737,14174,No,Sometimes Late,68.65,320.25
Gig Worker,Postgraduate,2.49,1,29621,Medak,Own,2W,3,29609,20800,No,Rarely Paid,35.21,173.05
Farmer,10th,17.0,4,75891,Karimnagar,Own,Car,1,7587,46283,No,Always On Time,70.11,331.55
Farmer,12th,11.9,1,31274,Karimnagar,Rent,2W,4,51494,34410,Yes,Always On Time,50.15,247.75
Gig Worker,10th,1.07,2,66292,Warangal,Family,None,3,6030,5692,No,Always On Time,48.08,221.4
Gig Worker,10th,6.31,0,48232,Medchal,Own,None,1,48658,5634,Yes,Rarely Paid,53.58,287.9
Gig Worker,12th,9.69,4,91044,Karimnagar,Rent,None,1,55538,13196,No,Regularly Late,66.72,341.6
Government,Postgraduate,2.04,3,113464,Warangal,Rent,None,4,9950,32472,Yes,Always On Time,63.06,331.3
Unemployed,Graduate,14.55,0,28576,Mahbubnagar,Rent,Car,3,21143,25179,No,Always On Time,56.11,273.55
Government,10th,16.94,0,14456,Hyderabad,Family,None,4,44626,6692,Yes,Sometimes Late,52.64,246.2
Gig Worker,10th,15.46,4,85627,Mancherial,Rent,Car,2,21261,42736,Yes,Regularly Late,72.67,385.35
Farmer,10th,8.69,3,66495,Rangareddy,Family,Car,1,14186,46324,Yes,Sometimes Late,56.28,273.4
Government,Postgraduate,6.74,3,95058,Karimnagar,Own,2W,1,58209,49370,No,Rarely Paid,67.64,353.2
Unemployed,Graduate,6.11,2,91807,Nizamabad,Rent,Car,3,50584,29728,No,Regularly Late,68.4,364.0
Labour,Graduate,19.35,5,44212,Medak,Family,2W,1,12309,39419,Yes,Rarely Paid,54.46,291.3
Trader,Primary,7.71,4,33972,Jagtial,Rent,Car,3,31275,46652,Yes,Always On Time,35.22,192.1
Trader,Postgraduate,8.88,4,21271,Bhadradri Kothagudem,Rent,Car,3,8840,42233,Yes,Rarely Paid,30.62,152.1
Trader,Primary,11.38,4,38542,Mahabubabad,Rent,2W,2,28110,36034,No,Always On Time,43.01,203.05
Government,10th,18.06,3,37605,Rangareddy,Rent,2W,3,44733,15516,No,Rarely Paid,55.89,297.45
Trader,10th,7.57,1,51198,Mancherial,Own,Car,3,33023,33096,Yes,Always On Time,53.62,267.1
Unemployed,12th,5.09,4,77605,Medak,Rent,Car,3,33518,27615,No,Always On Time,53.1,258.5
Unemployed,12th,18.66,3,108549,Siddipet,Own,Car,3,25045,32315,Yes,Rarely Paid,87.99,452.95
Farmer,Primary,7.58,2,92827,Mahabubabad,Own,Car,2,50266,27583,No,Rarely Paid,71.12,344.6
Unemployed,Graduate,3.83,3,80330,Mancherial,Family,Car,3,4943,46018,Yes,Always On Time,55.91,269.55
Gig Worker,Graduate,13.27,2,18734,Bhadradri Kothagudem,Family,2W,4,26927,16301,Yes,Regularly Late,42.61,214.05
Labour,Primary,17.02,4,86204,Rangareddy,Rent,None,1,29781,18141,Yes,Always On Time,75.3,390.5
Labour,10th,11.42,1,18028,Nalgonda,Own,2W,3,39767,47766,No,Sometimes Late,42.81,198.05
Gig Worker,Primary,7.55,4,113792,Kamareddy,Own,None,3,10070,7553,Yes,Regularly Late,67.99,317.95
Unemployed,Postgraduate,15.88,0,114808,Mahabubabad,Family,Car,1,38797,15255,Yes,Regularly Late,93.82,462.1
Gig Worker,Postgraduate,0.57,4,97999,Jagtial,Own,2W,3,43550,41149,No,Always On Time,56.52,284.6
Unemployed,12th,11.94,4,109299,Khammam,Family,2W,4,40938,9380,Yes,Rarely Paid,74.58,367.9
Gig Worker,12th,18.38,5,111485,Siddipet,Own,Car,1,30225,16849,No,Sometimes Late,80.9,425.5
Gig Worker,Graduate,14.22,1,11415,Mancherial,Own,None,3,12676,27212,Yes,Sometimes Late,43.7,206.5
Labour,Graduate,19.75,3,22040,Kamareddy,Rent,None,3,27317,7911,Yes,Always On Time,50.65,260.25
Unemployed,Graduate,13.8,1,39153,Adilabad,Rent,2W,1,28895,16890,Yes,Regularly Late,56.94,306.7
Labour,Primary,3.72,0,46022,Jagtial,Rent,2W,1,8443,23645,No,Sometimes Late,48.59,226.95
Gig Worker,12th,13.06,0,67888,Khammam,Own,None,1,56231,48154,No,Always On Time,73.53,360.65
Farmer,Postgraduate,1.7,2,49368,Mahbubnagar,Rent,Car,2,6823,17213,No,Always On Time,40.57,206.85
Government,Graduate,13.7,4,24351,Kamareddy,Rent,2W,4,5804,5500,Yes,Rarely Paid,39.39,192.95
Labour,10th,11.47,4,62872,Hyderabad,Rent,None,2,21055,22882,Yes,Always On Time,55.31,253.55
Farmer,Postgraduate,12.18,3,94199,Siddipet,Rent,Car,1,51359,17991,No,Regularly Late,75.37,387.85
Farmer,Postgraduate,2.25,4,96247,Adilabad,Own,2W,2,38819,16958,Yes,Sometimes Late,58.17,305.85
Unemployed,10th,11.39,3,23258,Rangareddy,Family,Car,1,40509,26812,No,Regularly Late,38.71,185.55
Gig Worker,Graduate,18.27,2,80579,Medak,Rent,Car,2,46838,19456,Yes,Always On Time,81.03,390.15
Labour,Postgraduate,10.28,1,70855,Siddipet,Family,Car,1,26915,35607,Yes,Rarely Paid,67.51,359.55
Trader,Postgraduate,2.44,2,37821,Mancherial,Family,None,3,19255,48459,No,Always On Time,35.9,155.5
Labour,Primary,12.48,1,71971,Khammam,Rent,Car,2,48411,48596,No,Always On Time,71.37,342.85
Labour,Primary,12.93,5,24634,Medak,Family,Car,2,44880,14313,No,Sometimes Late,35.05,155.25
Farmer,Primary,6.6,3,12886,Jagtial,Family,Car,3,6335,33027,No,Sometimes Late,26.34,148.7
Labour,Primary,1.27,3,71548,Medak,Own,2W,2,11321,1932,No,Sometimes Late,47.68,252.4
Trader,12th,6.97,1,33872,Mahabubabad,Rent,2W,2,40497,47775,No,Rarely Paid,44.06,238.3
Government,Primary,7.62,0,83241,Siddipet,Own,2W,1,29298,22982,No,Sometimes Late,73.05,368.25
Gig Worker,Graduate,1.48,4,106838,Medchal,Own,None,1,39210,43385,No,Rarely Paid,58.89,298.45
Labour,Primary,4.64,5,16723,Bhadradri Kothagudem,Own,Car,4,39161,49858,Yes,Sometimes Late,18.65,69.25
Government,Primary,9.48,4,56265,Bhadradri Kothagudem,Own,None,4,46043,13611,No,Rarely Paid,49.02,228.1
Gig Worker,12th,7.06,1,12631,Nalgonda,Own,Car,1,58167,44054,Yes,Sometimes Late,33.57,188.85
Gig Worker,Graduate,18.43,0,57509,Hyderabad,Family,2W,4,4716,31353,Yes,Rarely Paid,76.4,358.0
Government,Primary,9.94,5,72974,Adilabad,Own,None,1,26355,43463,No,Rarely Paid,54.73,276.65
Government,Postgraduate,14.87,5,15283,Karimnagar,Family,2W,2,3544,29578,No,Rarely Paid,33.28,173.4
Labour,Postgraduate,12.99,2,8674,Khammam,Family,2W,3,8034,4257,No,Sometimes Late,37.16,169.8
Unemployed,Graduate,7.48,4,61667,Jagtial,Family,Car,1,46533,24561,Yes,Rarely Paid,48.72,251.6
Farmer,Postgraduate,12.18,5,43286,Bhadradri Kothagudem,Own,Car,3,38820,32559,Yes,Regularly Late,43.25,234.25
Farmer,Primary,2.59,5,45712,Warangal,Family,None,4,43859,39490,No,Rarely Paid,30.07,132.35
Trader,Postgraduate,2.51,2,61691,Bhadradri Kothagudem,Own,2W,2,26659,14697,No,Regularly Late,47.94,250.7
Trader,Graduate,15.26,5,55800,Nalgonda,Rent,None,4,30719,6803,Yes,Sometimes Late,54.12,277.6
Gig Worker,12th,8.17,4,71560,Hyderabad,Rent,None,2,18922,36474,Yes,Rarely Paid,54.7,294.5
Government,12th,1.3,0,38703,Mahbubnagar,Rent,Car,4,58558,14055,No,Regularly Late,41.3,186.5
Unemployed,Primary,19.9,1,56190,Bhadradri Kothagudem,Family,2W,1,4870,11224,Yes,Always On Time,74.61,391.05
Gig Worker,12th,17.65,4,15167,Warangal,Family,None,3,40909,17836,Yes,Always On Time,40.73,217.65
Government,Primary,17.39,1,89757,Nalgonda,Rent,2W,4,13841,45640,No,Always On Time,87.63,457.15
Trader,12th,5.23,4,37552,Adilabad,Rent,Car,2,14505,22316,Yes,Rarely Paid,33.29,159.45
Government,Graduate,2.96,3,117538,Nizamabad,Own,2W,1,41189,23702,No,Always On Time,64.44,328.2
Farmer,12th,14.33,4,18371,Warangal,Rent,Car,3,4414,40804,Yes,Regularly Late,37.35,187.75
Trader,12th,11.17,4,80474,Jagtial,Family,None,4,18896,18072,Yes,Sometimes Late,63.66,293.3
Unemployed,10th,9.59,4,115750,Rangareddy,Family,2W,1,39037,22737,No,Always On Time,71.05,372.25
Trader,Graduate,0.75,1,90868,Nizamabad,Family,Car,3,45066,24604,Yes,Rarely Paid,63.23,323.15
Farmer,12th,2.64,3,89821,Nizamabad,Rent,None,3,16113,10200,No,Regularly Late,58.87,308.35
Labour,Graduate,16.98,1,110165,Kamareddy,Rent,None,2,21602,33302,No,Always On Time,92.14,466.7
Gig Worker,Primary,13.76,0,51356,Mahbubnagar,Family,None,3,59218,25485,Yes,Rarely Paid,66.32,310.6
Gig Worker,Graduate,14.72,3,69384,Adilabad,Own,2W,3,9962,11563,No,Rarely Paid,66.77,324.85
Unemployed,Postgraduate,15.23,0,73707,Mahbubnagar,Rent,None,4,30906,8790,Yes,Regularly Late,79.7,380.5
Trader,Graduate,5.86,3,102002,Warangal,Family,Car,3,13366,7856,No,Sometimes Late,68.79,359.95
Government,10th,12.29,2,32931,Hyderabad,Own,2W,3,19341,19647,No,Sometimes Late,48.23,249.15
Gig Worker,Primary,11.35,4,59311,Nizamabad,Family,None,4,18382,8822,No,Always On Time,53.35,249.75
Gig Worker,10th,13.78,0,12658,Khammam,Own,2W,2,47514,40823,Yes,Always On Time,47.0,232.0
Government,Graduate,7.5,1,53325,Warangal,Own,2W,2,38844,21043,Yes,Sometimes Late,54.58,281.9
Government,12th,3.07,3,92679,Kamareddy,Own,2W,4,29158,21015,Yes,Regularly Late,60.94,328.7
Trader,12th,17.49,0,20200,Mahbubnagar,Family,2W,2,54218,15017,Yes,Sometimes Late,56.34,262.7
Gig Worker,Graduate,6.64,2,29100,Kamareddy,Own,Car,4,10324,45395,Yes,Rarely Paid,37.84,178.2
Trader,Graduate,6.92,4,106659,Nizamabad,Own,Car,2,46917,24430,No,Regularly Late,67.05,329.25
Labour,Graduate,8.29,5,104935,Karimnagar,Family,None,4,17202,46541,No,Sometimes Late,65.77,352.85
Trader,Postgraduate,3.21,4,80239,Mancherial,Own,2W,2,19816,34651,No,Sometimes Late,51.6,257.0
Labour,Graduate,13.43,0,17504,Medchal,Own,2W,4,13416,38472,No,Always On Time,48.9,221.5
Government,12th,10.74,2,9507,Bhadradri Kothagudem,Rent,Car,1,51322,28065,Yes,Rarely Paid,34.2,191.0
Farmer,Postgraduate,1.48,3,16687,Rangareddy,Family,None,3,39680,48730,Yes,Rarely Paid,20.56,100.8
Government,12th,2.19,5,48733,Mahbubnagar,Rent,Car,2,31130,20936,No,Rarely Paid,30.98,162.9
Gig Worker,Graduate,6.42,5,93206,Mahabubabad,Family,2W,1,43835,43647,No,Rarely Paid,59.57,317.85
Government,12th,8.71,2,40800,Karimnagar,Rent,None,1,10995,17593,No,Sometimes Late,46.8,230.0
Labour,12th,18.93,3,104430,Warangal,Own,None,3,35299,28153,No,Regularly Late,88.39,426.95
Farmer,10th,14.53,4,11608,Bhadradri Kothagudem,Own,None,2,40139,18661,Yes,Regularly Late,34.27,193.35
Labour,Postgraduate,5.58,4,114453,Karimnagar,Family,2W,3,39291,17357,Yes,Rarely Paid,65.04,307.2
Trader,Graduate,15.91,5,48131,Medak,Rent,None,4,47264,3096,No,Always On Time,51.26,269.3
Unemployed,12th,4.45,3,54664,Warangal,Rent,2W,4,38480,38400,No,Sometimes Late,44.01,237.05
Labour,Graduate,11.63,1,27880,Khammam,Family,2W,2,26779,46052,No,Always On Time,48.05,249.25
Gig Worker,Primary,4.17,4,13265,Karimnagar,Family,2W,1,46640,1626,No,Always On Time,19.55,120.75
Government,Graduate,17.75,2,118943,Nizamabad,Family,2W,3,46754,486,No,Rarely Paid,89.96,469.8
Farmer,10th,2.38,5,90242,Medchal,Family,Car,1,17600,5935,No,Always On Time,52.02,272.1
Farmer,10th,16.97,4,15328,Hyderabad,Own,None,2,58515,28555,No,Rarely Paid,39.79,180.95
Government,Graduate,16.89,1,84267,Khammam,Family,2W,4,43115,35444,No,Always On Time,84.14,431.7
Farmer,10th,18.62,3,106612,Kamareddy,Rent,2W,3,18046,23456,Yes,Regularly Late,87.93,440.65
Gig Worker,10th,13.37,4,114269,Mahbubnagar,Family,None,3,35979,11385,Yes,Regularly Late,76.72,385.6
Trader,10th,9.48,5,97311,Rangareddy,Own,2W,2,25554,11418,Yes,Always On Time,66.21,345.05
Unemployed,Graduate,8.26,5,117220,Hyderabad,Rent,2W,3,46329,17553,Yes,Always On Time,65.72,336.6
Gig Worker,Graduate,8.88,0,91141,Warangal,Family,None,4,12366,12533,No,Always On Time,78.89,400.45
Farmer,Postgraduate,0.71,3,56013,Adilabad,Family,None,4,53545,28064,Yes,Sometimes Late,39.07,184.35
Labour,Postgraduate,17.66,4,67529,Jagtial,Family,2W,3,34247,23184,Yes,Always On Time,66.92,352.6
Trader,Primary,11.71,2,32251,Warangal,Own,2W,2,49784,23968,No,Always On Time,47.02,226.1
Unemployed,Graduate,13.03,1,59083,Khammam,Rent,2W,3,35310,1459,No,Sometimes Late,65.75,335.75
Gig Worker,Graduate,5.46,3,82082,Medak,Own,2W,4,52941,36659,Yes,Sometimes Late,59.23,317.15
Trader,Graduate,15.72,4,9957,Rangareddy,Family,2W,1,38103,42046,No,Regularly Late,35.23,196.15
